,name,seed,repeats,difficulty,lstm_xs,lstm,dnn_xs,dnn,cnn_xs,cnn,last_value,regression,arima,knn,sample_entropy,mad,num_edges,compression,perm_entropy,noise,mean_trend,trend_complexity,period,period_complexity,spectral_entropy_fft,spectral_entropy_psd
0,size_1000_seed_1_config_multi_sinusoidal_num_sin_1_lookback_10,1,0,1,0.03713774308562279,0.00014890675083734095,0.15210211277008057,0.0005766209214925766,0.059325121343135834,0.000357232493115589,0.007955929264426231,0.001777265174974449,0.0019551909758357055,0.003413660901016334,0.22270744088858158,0.007560565190104221,0.008008008008008008,2.09375,0.34227550587051014,0.0842317067403948,0.49913697364661647,0.0004383510182320535,0.25,0.32497701707100524,2.9854595394483843,0.6782739201938137
1,size_1000_seed_2_config_multi_sinusoidal_num_sin_1_lookback_10,2,1,1,0.003658807370811701,9.802440763451159e-05,0.00227193720638752,0.0001923223171615973,0.004556949716061354,8.968864858616143e-05,0.012352376244962215,0.007883410563071569,0.0012475543199354047,0.0054733366016049,0.23905918757991856,0.014149783603798543,0.015015015015015015,2.09375,0.38011004624420475,0.09881656385107816,0.5003097104045577,0.00040105516670570256,0.14285714285714285,0.35244376174832587,1.8499299239012954,0.9211718542371128
2,size_1000_seed_3_config_multi_sinusoidal_num_sin_1_lookback_10,3,2,1,0.0030709831044077873,8.111758506856859e-05,0.0020923714619129896,0.00012189831613795832,0.007749530486762524,7.310681394301355e-05,0.037709638476371765,0.04809435149146399,0.004221467906323586,0.015778233579240877,0.27211968834225264,0.03812233802849817,0.03803803803803804,0.953125,0.48082038701231744,0.14082026426738617,0.49996578877310427,0.0005239212826509072,0.05263157894736842,0.32968862916350766,2.1750579890488946,0.8707673325325752
3,size_1000_seed_4_config_multi_sinusoidal_num_sin_1_lookback_10,4,3,1,0.07606250047683716,0.033239200711250305,0.01240552868694067,0.021377110853791237,0.015294297598302364,0.010031149722635746,0.005087252706289291,0.0004687235156695002,0.0012082171524375413,0.002362402768115783,0.20250575556003333,0.004180253299866886,0.004004004004004004,1.875,0.3177926852641066,8.095045790962254e-18,0.5009001785444173,0.00021806775409980616,0.5,0.3723777737502385,2.0356312699992722,0.6950350927334593
4,size_1000_seed_5_config_multi_sinusoidal_num_sin_1_lookback_10,5,4,1,0.2528444230556488,0.001422087661921978,0.02283281274139881,0.02041877806186676,0.027566971257328987,0.0038351097609847784,0.004587966948747635,0.0008426119396481257,0.00088387076592013,0.0021056874091979396,0.21380800204934855,0.004970192161059903,0.005005005005005005,1.984375,0.3179690768721846,2.8959388707005225e-17,0.4969462294482151,0.000947820204907696,0.5,0.3878657174920013,3.8944343559503505,0.734510907984973
5,size_1000_seed_6_config_multi_sinusoidal_num_sin_1_lookback_10,6,5,1,0.027244973927736282,0.014165159314870834,0.0300810057669878,0.00043719331733882427,0.03237653896212578,0.04052406921982765,0.006569229997694492,0.0019704748590787242,0.0012043120995097298,0.0023424357516563885,0.22653113756837498,0.007363108601066768,0.007007007007007007,2.0625,0.3349942130415585,0.15344374312634465,0.5046078544838304,0.0008495381259959439,0.25,0.2647314355792136,2.4883002695556944,0.9235883810099756
6,size_1000_seed_7_config_multi_sinusoidal_num_sin_1_lookback_10,7,6,1,0.02751225233078003,0.02630947157740593,0.04554435610771179,0.002470878418534994,0.014857488684356213,0.036987051367759705,0.004508701153099537,0.0017683699131011965,0.0006601933010888106,0.0013492235771752625,0.21524317471351193,0.0061801878796048535,0.006006006006006006,2.015625,0.3292735143599935,0.04966996492156733,0.5008175378742123,0.00028576503360809406,0.3333333333333333,0.3690441999894377,2.1259997776556876,0.81446029722001
7,size_1000_seed_8_config_multi_sinusoidal_num_sin_1_lookback_10,8,7,1,0.003748183837160468,0.00033310995786450803,0.00826049130409956,0.00011157646804349497,0.02708498015999794,0.00017065100837498903,0.011816647835075855,0.004634010185798009,0.001205490988192279,0.004519151325627499,0.24138279230330337,0.01185324376993255,0.011011011011011011,2.09375,0.35943597133944516,0.08346607287744526,0.49960391505066887,0.00036697346469984857,0.16666666666666666,0.3284686347543344,1.800856893447096,0.9846338292861123
8,size_1000_seed_9_config_multi_sinusoidal_num_sin_1_lookback_10,9,8,1,0.052596315741539,0.017282500863075256,0.05041763186454773,0.0765523761510849,0.041519369930028915,0.048639144748449326,0.006289337761700153,0.0004477779890100182,0.0013245558143801664,0.0032915070365076527,0.21663575792250328,0.004689883860843704,0.004004004004004004,1.9375,0.3154174842513492,2.089056546381997e-17,0.49732282780531817,0.0005981250355980277,0.5,0.37918009155745974,3.5364198582582906,0.6630348032370839
9,size_1000_seed_10_config_multi_sinusoidal_num_sin_1_lookback_10,10,9,1,0.01441186387091875,0.01062228437513113,0.005840353202074766,0.011092168278992176,0.019080862402915955,0.01331517193466425,0.0039820061065256596,0.0006252312660217341,0.0007887161093597528,0.000709961159420045,0.20020935196256798,0.004064805630066549,0.004004004004004004,1.890625,0.31801641796335384,1.8497066108450617e-17,0.5005720861028761,0.00015630569536961725,0.5,0.3705731974811524,1.3875957348862031,0.6718557590412945
10,size_1000_seed_11_config_multi_sinusoidal_num_sin_2_lookback_10,11,0,2,0.0031119876075536013,0.0007310137152671814,0.002219344023615122,0.002865292364731431,0.005370474886149168,0.001840350916609168,0.008604196831583977,0.008384246230125424,0.0020290551889951144,0.0012645555398695723,0.3615850722536199,0.017489554557921498,0.025025025025025027,1.515625,0.42563359432740516,0.14285928922495547,0.5018521000525551,0.0012408534150199126,0.08333333333333333,0.2363631868163028,2.8305079076834367,0.9199964997776718
11,size_1000_seed_12_config_multi_sinusoidal_num_sin_2_lookback_10,12,1,2,0.05978576838970184,0.000997920404188335,0.002106547122821212,0.001178562524728477,0.011187667958438396,0.001736861770041287,0.014822007156908512,0.006044396748145409,0.001859282661493915,0.01204554567504233,0.3005368364924302,0.011543641502685253,0.015015015015015015,1.96875,0.3779446012432023,0.17485260798416,0.5002225260778794,0.0013661459908782547,0.125,0.17953791181040568,3.9152988051468567,0.950389261259424
12,size_1000_seed_13_config_multi_sinusoidal_num_sin_2_lookback_10,13,2,2,0.009172400459647179,0.0009558788151480258,0.019746653735637665,0.01795501448214054,0.02304346114397049,0.022865138947963715,0.02212914079427719,0.03054894873499871,0.003569511505329837,0.012345585944963764,0.3849694480835673,0.021795362121517763,0.042042042042042045,1.359375,0.49739881603340097,0.023002727371789558,0.5076655256560063,0.002422331227101246,0.04761904761904762,0.1839144603212851,3.5400429199799923,1.3749899990940804
13,size_1000_seed_14_config_multi_sinusoidal_num_sin_2_lookback_10,14,3,2,0.007686243858188391,0.005031062290072441,0.0047354609705507755,0.012439902871847153,0.00827787909656763,0.00862438790500164,0.0015032646479085088,0.00045102584362029854,0.0003900648231911774,0.00021948540120925674,0.25393065386696323,0.004151112725911914,0.006006006006006006,1.953125,0.3313037393060318,0.0626626504505741,0.48555747143961214,0.0005129469799530972,0.3333333333333333,0.252784567531211,2.853644138768812,0.7581369009753121
14,size_1000_seed_15_config_multi_sinusoidal_num_sin_2_lookback_10,15,4,2,0.01688533090054989,0.0207528043538332,0.040056318044662476,0.056216124445199966,0.06360755115747452,0.07753438502550125,0.004251283593475819,0.0016764633506536493,0.001169815134087356,0.0032709239234008374,0.23708994803736624,0.004259163535966637,0.006006006006006006,2.0,0.3300255127222228,0.0884645375562284,0.5301932001240647,0.0004968806320667079,0.3333333333333333,0.24246360991586868,3.404650312057452,0.789431948342049
15,size_1000_seed_16_config_multi_sinusoidal_num_sin_2_lookback_10,16,5,2,0.10443441569805145,0.00900254026055336,0.03297619894146919,0.009958089329302311,0.030990254133939743,0.03255510702729225,0.005733528174459934,0.0018607450549801197,0.0027300961939282675,0.004041642615225506,0.244899783071011,0.005874862596911743,0.007007007007007007,2.046875,0.3358134936883944,0.16454914237250498,0.5110013785710025,0.0008613260787903771,0.3333333333333333,0.29508875671916174,3.5174641980184123,0.8795028210347444
16,size_1000_seed_17_config_multi_sinusoidal_num_sin_2_lookback_10,17,6,2,0.011175722815096378,0.0016047349199652672,0.009810450486838818,0.0047371708787977695,0.02090616151690483,0.002836487488821149,0.01156257838010788,0.006328401247660313,0.0007384847445828284,0.007424839198568373,0.316844597756773,0.011251610001323499,0.018018018018018018,1.953125,0.3931890860711628,0.1325303272538147,0.5076324352762418,0.0018352830430299297,0.11111111111111112,0.18182597703429287,3.022153250633962,1.0165097403313803
