,type,seed,difficulty,dnn_xs,dnn_m,lstm_xs,open_lstm_m,last_value,regression,arima,entropy
0,size_1000_seed_1_config_piecewise_linear_num_seg_1_lookback_10,1,1,0.002238825662061572,0.002872932469472289,0.01660444214940071,0.001063630566932261,0.0009910804219543934,1.7881393440388747e-08,0.0017528833704526681,2.1935587034028017
1,size_1000_seed_2_config_piecewise_linear_num_seg_1_lookback_10,2,1,0.0076465969905257225,0.01378026232123375,0.01524980179965496,0.003511654445901513,0.0009910803055390716,1.2730403489008557e-09,0.0007207099350157119,2.1935587034028017
2,size_1000_seed_3_config_piecewise_linear_num_seg_1_lookback_10,3,1,0.08370480686426163,0.054529353976249695,0.005944599397480488,0.005337361712008715,0.0009910803055390716,1.2730403489008557e-09,0.0007207099350157119,2.1935587034028017
3,size_1000_seed_4_config_piecewise_linear_num_seg_1_lookback_10,4,1,0.004807368386536837,0.019368965178728104,0.05250159651041031,0.004231053404510021,0.0009910804219543934,1.7881393440388747e-08,0.0017528833704526681,2.1935587034028017
4,size_1000_seed_5_config_piecewise_linear_num_seg_1_lookback_10,5,1,0.003816298907622695,0.0033690130803734064,0.009210843592882156,0.0030235755257308483,0.0009910804219543934,1.7881393440388747e-08,0.0017528833704526681,2.1935587034028017
5,size_1000_seed_6_config_piecewise_linear_num_seg_1_lookback_10,6,1,0.013143577612936497,0.008158466778695583,0.01075137872248888,0.0012138128513470292,0.0009910804219543934,1.7881393440388747e-08,0.0017528833704526681,2.1935587034028017
6,size_1000_seed_7_config_piecewise_linear_num_seg_1_lookback_10,7,1,0.0038027148693799973,0.005263773258775473,0.0028103203512728214,0.0018572872504591942,0.0009910804219543934,1.7881393440388747e-08,0.0017528833704526681,2.1935587034028017
7,size_1000_seed_8_config_piecewise_linear_num_seg_1_lookback_10,8,1,0.020409677177667618,0.02868768386542797,0.04126957058906555,0.005951457191258669,0.0009910803055390716,1.2730403489008557e-09,0.0007207099350157119,2.1935587034028017
8,size_1000_seed_9_config_piecewise_linear_num_seg_1_lookback_10,9,1,0.012767519801855087,0.003865319536998868,0.023752784356474876,0.00900277215987444,0.0009910804219543934,1.7881393440388747e-08,0.0017528833704526681,2.1935587034028017
9,size_1000_seed_10_config_piecewise_linear_num_seg_1_lookback_10,10,1,0.00047026335960254073,0.0013305455213412642,0.0046981084160506725,0.0015425258316099644,0.0009910804219543934,1.7881393440388747e-08,0.0017528833704526681,2.1935587034028017
10,size_1000_seed_11_config_piecewise_linear_num_seg_2_lookback_10,11,2,0.006027348805218935,0.0023554854560643435,0.004078384023159742,0.0023170066997408867,0.0011454755440354347,2.1576881470419805e-08,0.0030037946004633,2.1104558312095603
11,size_1000_seed_12_config_piecewise_linear_num_seg_2_lookback_10,12,2,0.001997179351747036,0.006491327192634344,0.02936582639813423,0.0008186560589820147,0.0011252701515331864,2.1696090735101593e-08,0.0022087689106159145,2.175050925352418
